trial_num,change_of_mind
17,0
18,0
19,1
20,0
21,0
22,0
23,1
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,1
34,0
35,0
36,1
37,0
38,0
39,1
40,1
41,0
42,0
43,0
44,1
45,0
46,0
47,0
48,1
49,0
50,0
51,0
52,0
53,0
54,1
55,0
56,0
57,1
58,1
59,0
60,0
61,1
62,1
63,1
64,0
65,1
66,1
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,1
75,0
76,0
77,1
78,0
79,1
80,1
81,0
82,0
83,0
84,0
85,0
86,1
87,0
88,0
89,0
90,0
91,0
92,0
93,1
94,0
95,1
96,0
97,0
98,0
99,0
100,1
101,0
102,0
103,0
104,0
105,0
106,1
107,0
108,1
109,0
110,1
111,0
112,0
113,1
114,0
115,0
116,0
117,0
118,1
119,1
120,1
121,0
122,0
123,1
124,0
125,0
126,1
127,1
128,0
129,0
130,0
131,0
132,0
133,0
134,1
135,0
136,0
137,1
138,0
139,0
140,0
141,0
142,1
143,0
144,0
145,1
146,1
147,1
148,1
149,0
150,0
151,1
152,1
153,1
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,1
165,0
166,1
167,1
168,0
169,1
170,0
171,1
172,1
173,0
174,1
175,1
176,0
177,0
178,0
179,1
180,0
181,0
182,0
183,0
184,1
185,1
186,1
187,1
188,0
189,0
190,0
191,1
192,0
193,1
194,0
195,1
196,1
197,0
198,0
199,0
200,0
201,0
202,0
203,1
204,0
205,0
206,0
207,1
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,1
216,1
217,0
218,0
219,0
220,0
221,1
222,1
223,1
224,1
225,0
226,0
227,0
228,1
229,0
230,0
231,0
232,0
233,1
234,1
235,1
236,1
237,0
238,1
239,1
240,0
241,1
242,0
243,0
244,0
245,1
246,0
247,0
248,0
249,1
250,0
251,1
252,0
253,0
254,1
255,1
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,1
266,1
267,1
268,1
269,1
270,0
271,0
272,1
273,1
274,0
275,0
276,0
277,1
278,0
279,1
280,1
281,0
282,1
283,0
284,0
285,0
286,0
287,0
288,0
289,1
290,1
291,0
292,0
293,1
294,0
295,1
296,0
297,0
298,0
299,1
300,0
301,0
302,1
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,1
322,1
323,0
324,1
325,0
326,1
327,1
328,0
